,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,East London,16,ZA,1589643994,60,-33.02,27.91,64.72,3.89
1,Petropavlovsk-Kamchatskiy,20,RU,1589644153,79,53.05,158.65,33.8,4.47
2,Antofagasta,75,CL,1589643958,68,-23.65,-70.4,64.4,13.87
